COUNTRY,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,yearToDate,share,periodo_id
Chile,July 2011,2011,7,July,Oil,387.65,6003.775,0.0736354225037753,19
Chile,July 2011,2011,7,July,Natural gas,1183.243,12960.784,0.2247609911766661,19
Chile,July 2011,2011,7,July,Combustible renewables,371.208,4414.735,0.0705122092526285,19
Chile,August 2011,2011,8,August,Hydro,1960.977,20937.001,0.3694389924916908,20
Chile,August 2011,2011,8,August,Wind,23.802,338.001,0.0044841866576136,20
Chile,August 2011,2011,8,August,Coal,1633.425,18534.705,0.3077297114197362,20
Chile,August 2011,2011,8,August,Oil,219.314,6003.775,0.0413177427370757,20
Chile,August 2011,2011,8,August,Natural gas,1156.392,12960.784,0.2178589016625138,20
Chile,August 2011,2011,8,August,Combustible renewables,314.076,4414.735,0.0591704650313697,20
Chile,September 2011,2011,9,September,Hydro,2015.396,20937.001,0.4063428646200553,21
Chile,September 2011,2011,9,September,Wind,33.026,338.001,0.006658681195627,21
Chile,September 2011,2011,9,September,Coal,1647.196,18534.705,0.3321066139015343,21
Chile,September 2011,2011,9,September,Oil,201.196,6003.775,0.0405650100477011,21
Chile,September 2011,2011,9,September,Natural gas,766.425,12960.784,0.1545261229140208,21
Chile,September 2011,2011,9,September,Combustible renewables,296.602,4414.735,0.0598007073210612,21
Chile,October 2011,2011,10,October,Hydro,2349.763,20937.001,0.440896878454236,22
Chile,October 2011,2011,10,October,Wind,39.512,338.001,0.0074138189517341,22
Chile,October 2011,2011,10,October,Coal,1639.95,18534.705,0.3077113886894229,22
Chile,October 2011,2011,10,October,Oil,205.381,6003.775,0.0385365850912664,22
Chile,October 2011,2011,10,October,Natural gas,671.769,12960.784,0.1260471184295283,22
Chile,October 2011,2011,10,October,Combustible renewables,423.133,4414.735,0.0793943980184283,22
Chile,November 2011,2011,11,November,Hydro,2459.934,20937.001,0.4561723443103213,23
Chile,November 2011,2011,11,November,Wind,36.612,338.001,0.0067893617755149,23
Chile,November 2011,2011,11,November,Coal,1376.619,18534.705,0.2552814491982834,23
Chile,November 2011,2011,11,November,Oil,288.539,6003.775,0.0535069282570003,23
Chile,November 2011,2011,11,November,Natural gas,730.978,12960.784,0.1355532091101915,23
