COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share,periodo_id
Chile,OCT2012,October 2012,2012,10,October,Oil,374.706,9,5678.054,5111.349,0.0672009899747126,34
Chile,OCT2012,October 2012,2012,10,October,Natural gas,992.903,10,11874.561,11433.41,0.1780704460266504,34
Chile,OCT2012,October 2012,2012,10,October,Combustible renewables,442.866,11,4485.884,3325.464,0.0794250255564124,34
Chile,NOV2012,November 2012,2012,11,November,Hydro,1566.059,1,19976.999,18729.665,0.2855002337148853,35
Chile,NOV2012,November 2012,2012,11,November,Wind,32.724,2,409.0,315.252,0.0059657456379905,35
Chile,NOV2012,November 2012,2012,11,November,Coal,2135.813,8,23415.5,16894.174,0.3893691812832661,35
Chile,NOV2012,November 2012,2012,11,November,Oil,560.753,9,5678.054,5399.888,0.102228021138618,35
Chile,NOV2012,November 2012,2012,11,November,Natural gas,790.792,10,11874.561,12164.388,0.1441652586651343,35
Chile,NOV2012,November 2012,2012,11,November,Combustible renewables,399.174,11,4485.884,3825.336,0.0727713772552028,35
Chile,DEC2012,December 2012,2012,12,December,Hydro,1534.439,1,19976.999,20937.001,0.2734629195737552,36
Chile,DEC2012,December 2012,2012,12,December,Wind,48.302,2,409.0,338.001,0.0086082313739754,36
Chile,DEC2012,December 2012,2012,12,December,Coal,2204.574,8,23415.5,18534.705,0.3928922834054607,36
Chile,DEC2012,December 2012,2012,12,December,Oil,381.25,9,5678.054,6003.775,0.0679451826286311,36
Chile,DEC2012,December 2012,2012,12,December,Natural gas,961.679,10,11874.561,12960.784,0.1713874236986737,36
Chile,DEC2012,December 2012,2012,12,December,Combustible renewables,480.897,11,4485.884,4414.735,0.0857039593195038,36
Chile,JAN2013,January 2013,2013,1,January,Hydro,1758.742,1,19678.001,1909.02,0.3001144322124801,37
Chile,JAN2013,January 2013,2013,1,January,Wind,15.387,2,553.0,27.048,0.0026256612786033,37
Chile,JAN2013,January 2013,2013,1,January,Coal,2268.113,8,28360.618,1791.947,0.3870342808602653,37
Chile,JAN2013,January 2013,2013,1,January,Oil,271.462,9,5113.074,344.075,0.0463226920135325,37
Chile,JAN2013,January 2013,2013,1,January,Natural gas,1116.238,10,10463.458,1181.571,0.190476564262407,37
Chile,JAN2013,January 2013,2013,1,January,Combustible renewables,416.629,11,5403.854,254.425,0.0710942115320231,37
Chile,FEB2013,February 2013,2013,2,February,Hydro,1441.08,1,19678.001,3565.505,0.2707448357491099,38
Chile,FEB2013,February 2013,2013,2,February,Wind,33.852,2,553.0,64.076,0.0063599898546776,38
Chile,FEB2013,February 2013,2013,2,February,Coal,2228.558,8,28360.618,3603.826,0.4186933200567387,38
Chile,FEB2013,February 2013,2013,2,February,Oil,187.655,9,5113.074,825.83,0.0352559345438832,38
Chile,FEB2013,February 2013,2013,2,February,Natural gas,1025.155,10,10463.458,2208.557,0.1926023691206448,38
Chile,FEB2013,February 2013,2013,2,February,Combustible renewables,392.685,11,5403.854,505.065,0.0737762204916723,38
Chile,MAR2013,March 2013,2013,3,March,Hydro,1325.596,1,19678.001,5243.818,0.2257304161755335,39
Chile,MAR2013,March 2013,2013,3,March,Wind,40.446,2,553.0,93.498,0.0068873868151651,39
Chile,MAR2013,March 2013,2013,3,March,Solar,0.527,3,8.0,,8.974071234713002e-05,39
Chile,MAR2013,March 2013,2013,3,March,Coal,2553.965,8,28360.618,5579.157,0.4349044372099391,39
Chile,MAR2013,March 2013,2013,3,March,Oil,331.001,9,5113.074,1392.09,0.0563648302231733,39
Chile,MAR2013,March 2013,2013,3,March,Natural gas,1125.96,10,10463.458,3347.399,0.1917352039361945,39
Chile,MAR2013,March 2013,2013,3,March,Combustible renewables,481.312,11,5403.854,770.853,0.0819606864159807,39
Chile,APR2013,April 2013,2013,4,April,Hydro,1302.255,1,19678.001,6413.519,0.2364204242498072,40
Chile,APR2013,April 2013,2013,4,April,Wind,38.015,2,553.0,108.823,0.0069015073298673,40
Chile,APR2013,April 2013,2013,4,April,Solar,0.477,3,8.0,,8.65978954714384e-05,40
Chile,APR2013,April 2013,2013,4,April,Coal,2357.513,8,28360.618,7285.442,0.4279992963240192,40
Chile,APR2013,April 2013,2013,4,April,Oil,324.907,9,5113.074,2296.161,0.0589858751025967,40
Chile,APR2013,April 2013,2013,4,April,Natural gas,1043.474,10,10463.458,4586.088,0.1894395228074711,40
Chile,APR2013,April 2013,2013,4,April,Combustible renewables,427.91,11,5403.854,1115.456,0.0776857556628578,40
Chile,MAY2013,May 2013,2013,5,May,Hydro,1236.982,1,19678.001,7566.681,0.2059314789241796,41
Chile,MAY2013,May 2013,2013,5,May,Wind,45.134,2,553.0,145.137,0.0075138614545433,41
Chile,MAY2013,May 2013,2013,5,May,Solar,0.426,3,8.0,,7.092003765754111e-05,41
Chile,MAY2013,May 2013,2013,5,May,Coal,2424.516,8,28360.618,9247.557,0.4036309061533121,41
Chile,MAY2013,May 2013,2013,5,May,Oil,745.121,9,5113.074,3310.005,0.1240469703742363,41
Chile,MAY2013,May 2013,2013,5,May,Natural gas,1007.169,10,10463.458,5704.376,0.1676724493133991,41
Chile,MAY2013,May 2013,2013,5,May,Combustible renewables,533.751,11,5403.854,1531.246,0.0888583122529348,41
Chile,JUN2013,June 2013,2013,6,June,Hydro,1325.69,1,19678.001,9615.482,0.2189711334835437,42
Chile,JUN2013,June 2013,2013,6,June,Wind,34.328,2,553.0,181.846,0.0056701348506989,42
Chile,JUN2013,June 2013,2013,6,June,Solar,0.347,3,8.0,,5.73158003143945e-05,42
Chile,JUN2013,June 2013,2013,6,June,Coal,2547.113,8,28360.618,11117.918,0.4207199426115225,42
Chile,JUN2013,June 2013,2013,6,June,Oil,948.947,9,5113.074,3693.916,0.1567425266885986,42
Chile,JUN2013,June 2013,2013,6,June,Natural gas,669.989,10,10463.458,6446.992,0.1106655784923367,42
Chile,JUN2013,June 2013,2013,6,June,Combustible renewables,514.097,11,5403.854,1917.965,0.0849160835568567,42
Chile,JUL2013,July 2013,2013,7,July,Hydro,1727.461,1,19678.001,11964.506,0.28113005931612,43
Chile,JUL2013,July 2013,2013,7,July,Wind,50.913,2,553.0,224.555,0.0082856716938684,43
Chile,JUL2013,July 2013,2013,7,July,Solar,0.366,3,8.0,,5.9563487517055336e-05,43
Chile,JUL2013,July 2013,2013,7,July,Coal,2411.114,8,28360.618,12892.469,0.3923889580360584,43
